season,teamName,playerName,playerAge,nationality,height(cm),weight(kg),game_appear,game_lineups,game_minutes,position,rating,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_scored,penalty_missed,penalty_saved
2020,Valencia,Gabriel Paulista,34,Brazil,185.0,72.0,31.0,31.0,2717.0,Defender,7.029032,0.0,1.0,0.0,13.0,6.0,4.0,0.0,1.0,0.0,1501.0,6.0,42.0,17.0,27.0,59.0,186.0,117.0,6.0,5.0,26.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,M. Diakhaby,28,Guinea,189.0,78.0,26.0,24.0,2082.0,Defender,6.76923,2.0,4.0,5.0,8.0,4.0,1.0,0.0,0.0,0.0,988.0,1.0,32.0,16.0,21.0,27.0,126.0,76.0,9.0,7.0,8.0,21.0,4.0,0.0,1.0,0.0,0.0,0.0
2020,Valencia,José Gayà,29,Spain,172.0,66.0,33.0,32.0,2848.0,Defender,6.80303,1.0,3.0,2.0,19.0,5.0,1.0,0.0,7.0,0.0,1171.0,36.0,29.0,59.0,3.0,38.0,280.0,149.0,50.0,33.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Hugo Guillamón,24,Spain,178.0,62.0,25.0,21.0,1989.0,Defender,6.824,4.0,5.0,11.0,7.0,1.0,1.0,0.0,0.0,0.0,1176.0,1.0,41.0,23.0,14.0,27.0,196.0,103.0,2.0,1.0,28.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Toni Lato,27,Spain,171.0,64.0,15.0,8.0,724.0,Defender,6.466666,7.0,3.0,26.0,2.0,2.0,1.0,0.0,0.0,0.0,293.0,3.0,17.0,13.0,1.0,10.0,68.0,29.0,7.0,3.0,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Gonçalo Guedes,28,Portugal,179.0,68.0,31.0,27.0,2301.0,Attacker,6.916129,4.0,15.0,9.0,34.0,15.0,5.0,0.0,5.0,0.0,739.0,34.0,17.0,18.0,1.0,8.0,315.0,160.0,97.0,66.0,68.0,29.0,3.0,0.0,1.0,0.0,0.0,0.0
2020,Valencia,Lee Kang-In,23,Korea Republic,174.0,72.0,24.0,15.0,1266.0,Midfielder,6.904347,9.0,14.0,20.0,16.0,7.0,0.0,0.0,4.0,0.0,499.0,22.0,18.0,15.0,0.0,2.0,204.0,99.0,46.0,38.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Carlos Soler,27,Spain,180.0,76.0,32.0,31.0,2737.0,Midfielder,7.3,1.0,4.0,2.0,27.0,17.0,11.0,0.0,8.0,0.0,1431.0,45.0,38.0,41.0,11.0,23.0,220.0,121.0,39.0,25.0,37.0,26.0,7.0,0.0,0.0,7.0,2.0,0.0
2020,Valencia,Rubén Sobrino,32,Spain,185.0,73.0,5.0,0.0,45.0,Attacker,6.9,5.0,0.0,21.0,7.0,5.0,0.0,0.0,0.0,0.0,245.0,11.0,11.0,29.0,0.0,15.0,200.0,106.0,33.0,17.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Thierry Correia,25,Portugal,176.0,69.0,29.0,25.0,2140.0,Defender,6.762068,4.0,6.0,10.0,8.0,2.0,1.0,0.0,1.0,0.0,937.0,18.0,24.0,47.0,6.0,42.0,253.0,143.0,45.0,27.0,38.0,34.0,5.0,1.0,0.0,0.0,0.0,0.0
